#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
482290 1332690 350 1.1e-67  0 0 0 0 0 1.8e-95 2.6e-32 1e+02 
482290 1334190 350 2.3e-64  0 0 0 0 2.1e-247 4.6e-91 1.2e-30 1e+02 
482290 1335690 350 4.1e-61  0 0 0 0 5e-238 8.5e-87 5e-29 1e+02 
482290 1337190 350 6.1e-58  0 0 0 0 5.9e-229 1.2e-82 1.8e-27 1e+02 
482290 1338690 350 7.5e-55  0 0 0 0 3.6e-220 1.2e-78 6.1e-26 1e+02 
482290 1340190 350 7.8e-52  0 0 0 0 1.1e-211 8.5e-75 1.8e-24 1e+02 
482290 1341690 350 6.7e-49  0 0 0 0 1.7e-203 4.6e-71 4.8e-23 1e+02 
482290 1343190 350 4.8e-46  0 0 0 0 1.4e-195 1.9e-67 1.1e-21 1e+02 
482290 1344690 350 2.8e-43  0 0 0 0 5.5e-188 5.6e-64 2.5e-20 1e+02 
482290 1346190 350 1.4e-40  0 0 0 0 1.2e-180 1.2e-60 4.9e-19 1e+02 
482290 1347690 350 5.5e-38  0 0 0 0 1.2e-173 2.1e-57 8.7e-18 1e+02 
482290 1349190 350 1.8e-35  0 0 0 0 6.9e-167 2.6e-54 1.4e-16 1e+02 
482290 1350690 350 4.9e-33  0 0 0 0 2e-160 2.4e-51 2.1e-15 1e+02 
482290 1352190 350 1.1e-30  0 0 0 0 2.9e-154 1.7e-48 2.9e-14 1e+02 
482290 1353690 350 2e-28  0 0 0 0 2.2e-148 8.7e-46 3.7e-13 1e+02 
482290 1355190 350 2.9e-26  0 0 0 0 9e-143 3.4e-43 4.2e-12 1e+02 
482290 1356690 350 3.5e-24  0 0 0 0 1.9e-137 1e-40 4.5e-11 1e+02 
482290 1358190 350 3.4e-22  0 0 0 0 2e-132 2.3e-38 4.5e-10 1e+02 
482290 1359690 350 2.7e-20  0 0 0 1.2e-297 1.1e-127 4e-36 4.1e-09 1e+02 
482290 1361190 350 1.7e-18  0 0 0 2.2e-289 3.4e-123 5.1e-34 3.5e-08 1e+02 
482290 1362690 350 8.9e-17  0 0 0 1.2e-281 5.3e-119 5e-32 2.7e-07 1e+02 
482290 1364190 350 3.7e-15  0 0 0 1.8e-274 4.3e-115 3.7e-30 2e-06 1e+02 
482290 1365690 350 1.3e-13  0 0 0 7.7e-268 1.8e-111 2.1e-28 1.3e-05 1e+02 
482290 1367190 350 3.5e-12  0 0 0 9.7e-262 4e-108 9e-27 8.1e-05 1e+02 
482290 1368690 350 7.9e-11  0 0 0 3.6e-256 4.7e-105 2.9e-25 0.00046 1e+02 
482290 1370190 350 1.4e-09  0 0 0 3.7e-251 2.8e-102 7.2e-24 0.0024 1e+02 
482290 1371690 350 2.1e-08  0 0 0 1.1e-246 9e-100 1.3e-22 0.011 1e+02 
482290 1373190 350 2.5e-07  0 0 0 9.8e-243 1.5e-97 1.9e-21 0.048 1e+02 
482290 1374690 350 2.5e-06  0 0 0 2.4e-239 1.3e-95 2e-20 0.19 1e+02 
482290 1376190 350 2e-05  0 0 0 1.7e-236 5.6e-94 1.6e-19 0.64 99 
482290 1377690 350 0.00013  0 0 0 3.4e-234 1.2e-92 8.9e-19 1.9 98 
482290 1379190 350 0.00077  0 0 0 1.8e-232 1.4e-91 3.7e-18 4.9 95 
482290 1380690 350 0.0039  0 0 0 2.6e-231 7.3e-91 1.1e-17 10 90 
482290 1382190 350 0.018  0 0 0 9.7e-231 1.8e-90 2.1e-17 18 82 
482290 1383690 350 0.07  0 0 0 9.7e-231 2.3e-90 2.9e-17 27 73 
482290 1385190 350 0.23  0 0 0 2.7e-231 1.4e-90 3e-17 34 66 
482290 1386690 350 0.61  0 0 0 2.2e-232 4.6e-91 2.3e-17 39 61 
482290 1388190 350 1.3  0 0 0 5.4e-234 8.2e-92 1.4e-17 42 58 
482290 1389690 350 2  0 0 0 4e-236 8.2e-93 7.1e-18 43 57 
482290 1391190 350 2.4  0 0 0 9.4e-239 4.6e-94 2.8e-18 43 57 
482290 1392690 350 2.1  0 0 0 6.8e-242 1.4e-95 9.4e-19 42 58 
482290 1394190 350 1.4  0 0 0 1.5e-245 2.5e-97 2.5e-19 40 60 
482290 1395690 350 0.71  0 0 0 1.1e-249 2.5e-99 5.5e-20 37 63 
482290 1397190 350 0.27  0 0 0 2.2e-254 1.4e-101 9.6e-21 34 66 
482290 1398690 350 0.081  0 0 0 1.5e-259 4.3e-104 1.4e-21 29 71 
482290 1400190 350 0.018  0 0 0 2.9e-265 7.2e-107 1.5e-22 24 76 
482290 1401690 350 0.0033  0 0 0 1.7e-271 6.6e-110 1.4e-23 19 81 
482290 1403190 350 0.00045  0 0 0 3e-278 3.3e-113 9.4e-25 14 86 
482290 1404690 350 5e-05  0 0 0 1.6e-285 8.6e-117 5e-26 10 90 
482290 1406190 350 4.5e-06  0 0 0 2.3e-293 1.2e-120 2.1e-27 6.6 93 
482290 1407690 350 3.2e-07  0 0 0 1e-301 8.6e-125 6.4e-29 4 96 
482290 1409190 350 1.9e-08  0 0 0 1.2e-310 3.2e-129 1.5e-30 2.2 98 
482290 1410690 350 9.5e-10  0 0 0 0 6.1e-134 2.5e-32 1.1 99 
482290 1412190 350 3.9e-11  0 0 0 0 5.9e-139 3.2e-34 0.47 1e+02 
482290 1413690 350 1.4e-12  0 0 0 0 2.9e-144 2.9e-36 0.18 1e+02 
482290 1415190 350 4.1e-14  0 0 0 0 6.8e-150 1.9e-38 0.061 1e+02 
482290 1416690 350 1.1e-15  0 0 0 0 7.9e-156 8.7e-41 0.018 1e+02 
482290 1418190 350 2.5e-17  0 0 0 0 4.4e-162 2.8e-43 0.0045 1e+02 
482290 1419690 350 5.1e-19  0 0 0 0 1.2e-168 6.1e-46 0.00094 1e+02 
482290 1421190 350 9.3e-21  0 0 0 0 1.5e-175 9.3e-49 0.00016 1e+02 
482290 1422690 350 1.5e-22  0 0 0 0 8.6e-183 9.7e-52 2.4e-05 1e+02 
482290 1424190 350 2.3e-24  0 0 0 0 2.4e-190 6.8e-55 3e-06 1e+02 
482290 1425690 350 3.1e-26  0 0 0 0 3.1e-198 3.3e-58 3e-07 1e+02 
482290 1427190 350 3.7e-28  0 0 0 0 1.9e-206 1.1e-61 2.6e-08 1e+02 
482290 1428690 350 4e-30  0 0 0 0 5.7e-215 2.5e-65 1.8e-09 1e+02 
482290 1430190 350 3.9e-32  0 0 0 0 7.8e-224 3.8e-69 1.1e-10 1e+02 
