#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
482290 1332690 350 1.4e-44  0 0 0 0 0 6.6e-191 1.2e-98 1e+02 
482290 1334190 350 2.4e-43  0 0 0 0 0 3.5e-185 1.2e-95 1e+02 
482290 1335690 350 3.8e-42  0 0 0 0 0 1.2e-179 8.9e-93 1e+02 
482290 1337190 350 5.5e-41  0 0 0 0 0 2.9e-174 5.5e-90 1e+02 
482290 1338690 350 7.2e-40  0 0 0 0 0 4.5e-169 2.8e-87 1e+02 
482290 1340190 350 8.8e-39  0 0 0 0 0 4.7e-164 1.1e-84 1e+02 
482290 1341690 350 9.7e-38  0 0 0 0 0 3.3e-159 3.8e-82 1e+02 
482290 1343190 350 9.9e-37  0 0 0 0 0 1.6e-154 1e-79 1e+02 
482290 1344690 350 9.3e-36  0 0 0 0 0 5e-150 2.3e-77 1e+02 
482290 1346190 350 8e-35  0 0 0 0 1.9e-282 1e-145 4e-75 1e+02 
482290 1347690 350 6.3e-34  0 0 0 0 1.8e-274 1.5e-141 5.8e-73 1e+02 
482290 1349190 350 4.6e-33  0 0 0 0 8.3e-267 1.4e-137 6.8e-71 1e+02 
482290 1350690 350 3e-32  0 0 0 0 1.7e-259 8.8e-134 6.4e-69 1e+02 
482290 1352190 350 1.9e-31  0 0 0 0 1.7e-252 3.7e-130 5e-67 1e+02 
482290 1353690 350 1e-30  0 0 0 0 7.4e-246 1.1e-126 3.1e-65 1e+02 
482290 1355190 350 5.3e-30  0 0 0 0 1.5e-239 2e-123 1.6e-63 1e+02 
482290 1356690 350 2.5e-29  0 0 0 0 1.4e-233 2.6e-120 6.5e-62 1e+02 
482290 1358190 350 1.1e-28  0 0 0 0 6.3e-228 2.2e-117 2.2e-60 1e+02 
482290 1359690 350 4.3e-28  0 0 0 0 1.3e-222 1.2e-114 5.9e-59 1e+02 
482290 1361190 350 1.6e-27  0 0 0 0 1.2e-217 4.7e-112 1.3e-57 1e+02 
482290 1362690 350 5.2e-27  0 0 0 0 5.2e-213 1.2e-109 2.3e-56 1e+02 
482290 1364190 350 1.6e-26  0 0 0 0 1e-208 2.1e-107 3.4e-55 1e+02 
