,Easting,Northing,Elevation,MassArea,"[-4,-3)","[-3,-2)","[-2,-1)","[-1,0)","[0,1)","[1,2)","[2,3)","[3,4)",geometry,radius
0,433487,1479887,0,0.30796,9.624629999999999e-214,7.845789999999999e-169,5.1059299999999985e-123,4.0511399999999995e-73,9.6061e-34,1.34788e-10,0.971541,99.0285,POINT (433487 1479887),138597.58157341706
1,435487,1479887,0,0.317078,2.357289999999999e-209,2.3798499999999993e-165,1.8247499999999998e-120,1.3970299999999997e-71,5.2202699999999996e-33,2.45942e-10,1.09635,98.9036,POINT (435487 1479887),137178.99845821882
2,437487,1479887,0,0.326425,4.693399999999998e-205,6.124359999999998e-162,5.780119999999999e-118,4.479859999999999e-70,2.7400000000000003e-32,4.43244e-10,1.23403,98.766,POINT (437487 1479887),135775.0552126568
3,439487,1479887,0,0.33600399999999997,7.596369999999997e-201,1.3371199999999999e-158,1.6228499999999998e-115,1.3358299999999998e-68,1.38905e-31,7.89e-10,1.38545,98.6146,POINT (439487 1479887),134386.210669101
4,441487,1479887,0,0.345821,9.994689999999995e-197,2.476709999999999e-155,4.0385399999999987e-113,3.7039699999999994e-67,6.801269999999999e-31,1.38717e-09,1.5514299999999999,98.4486,POINT (441487 1479887),133012.93778426218
5,443487,1479887,0,0.355881,1.0689899999999995e-192,3.892059999999999e-152,8.907989999999997e-111,9.550169999999998e-66,3.216359999999999e-30,2.40878e-09,1.7328,98.2672,POINT (443487 1479887),131655.72383303355
6,445487,1479887,0,0.366189,9.294489999999995e-189,5.188959999999999e-149,1.7415799999999994e-108,2.2897299999999996e-64,1.4690599999999998e-29,4.131189999999999e-09,1.9303599999999999,98.0696,POINT (445487 1479887),130315.07057128887
7,447487,1479887,0,0.376748,6.569299999999999e-185,5.869219999999998e-146,3.0179799999999997e-106,5.104879999999999e-63,6.480509999999999e-29,6.9977600000000005e-09,2.14482,97.8552,POINT (447487 1479887),128991.49436300054
8,449487,1479887,0,0.387563,3.7744799999999986e-181,5.6322199999999985e-143,4.6355399999999984e-104,1.0583199999999997e-61,2.76104e-28,1.1707e-08,2.37688,97.6231,POINT (449487 1479887),127685.52626668381
9,451487,1479887,0,0.39863699999999996,1.7629599999999993e-177,4.585429999999999e-140,6.3109999999999985e-102,2.0402299999999995e-60,1.13613e-27,1.93431e-08,2.6271299999999997,97.3729,POINT (451487 1479887),126397.71207581251
10,453487,1479887,0,0.409974,6.693809999999998e-174,3.1672699999999993e-137,7.615739999999998e-100,3.6574e-59,4.51511e-27,3.15647e-08,2.89606,97.1039,POINT (453487 1479887),125128.61230749745
