gs_step,col_step,particle_ht,ashdiam,part_density,fall_time,plume_diffusion_fine_particle,plume_diffusion_coarse_particle,total_fall_time,wind_sum_x,wind_sum_y,actual_mass
0,0,2500.9000000000,0.0226274170,1000.0000000000,93.0383067346,274.6313473070,19998.4000320000,93.0383067346,0.0000000000,930.3830673464,2406394641.8023138046
0,1,5000.8000000000,0.0000000000,0.0000000000,79.8842236341,478.1609481938,79993.6001280000,172.9225303688,0.0000000000,1729.2253036879,2350317364.6252465248
0,2,7500.7000000000,0.0000000000,0.0000000000,68.5899110764,661.3739899367,179985.6002880000,241.5124414452,0.0000000000,2415.1244144522,2249598235.3136091232
0,3,10000.6000000000,0.0000000000,0.0000000000,58.8924281598,832.5265655927,319974.4005120001,300.4048696050,0.0000000000,3004.0486960499,2121440798.2687823772
0,4,12500.5000000000,0.0000000000,0.0000000000,50.5660094921,995.2360776827,499960.0008000000,350.9708790971,0.0000000000,3509.7087909710,1968880580.6592719555
0,5,15000.4000000000,0.0000000000,0.0000000000,43.4168091867,1151.5189989776,719942.4011519999,394.3876882838,0.0000000000,3943.8768828382,1789706290.0743172169
0,6,17500.3000000000,0.0000000000,0.0000000000,37.2783879703,1302.6523866798,979921.6015679999,431.6660762541,0.0000000000,4316.6607625412,1576822681.8695151806
0,7,20000.2000000000,0.0000000000,0.0000000000,32.0078383395,1449.5129412714,1279897.6020480003,463.6739145936,0.0000000000,4636.7391459359,1314118683.9811148643
0,8,22500.1000000000,0.0000000000,0.0000000000,27.4824575564,1592.7371687681,1619870.4025920006,491.1563721500,0.0000000000,4911.5637215001,957583442.8765585423
0,9,25000.0000000000,0.0000000000,0.0000000000,23.5968910281,1732.8066560786,1999840.0032000009,514.7532631781,0.0000000000,5147.5326317807,109.7896665540
1,0,2500.9000000000,0.0121257325,1000.0000000000,127.0940724198,274.6313473070,19998.4000320000,127.0940724198,0.0000000000,1270.9407241978,7412217320.8255567551
1,1,5000.8000000000,0.0000000000,0.0000000000,109.1250653638,478.1609481938,79993.6001280000,236.2191377836,0.0000000000,2362.1913778360,7239487146.8233079910
1,2,7500.7000000000,0.0000000000,0.0000000000,93.6965797376,661.3739899367,179985.6002880000,329.9157175212,0.0000000000,3299.1571752121,6929250387.7092494965
1,3,10000.6000000000,0.0000000000,0.0000000000,80.4494276843,832.5265655927,319974.4005120001,410.3651452055,0.0000000000,4103.6514520547,6534497690.8096208572
1,4,12500.5000000000,0.0000000000,0.0000000000,69.0752045896,995.2360776827,499960.0008000000,479.4403497951,0.0000000000,4794.4034979511,6064579138.0542068481
1,5,15000.4000000000,0.0000000000,0.0000000000,59.3091091689,1151.5189989776,719942.4011519999,538.7494589640,0.0000000000,5387.4945896401,5512683469.3014936447
1,6,17500.3000000000,0.0000000000,0.0000000000,50.9237786743,1302.6523866798,979921.6015679999,589.6732376383,0.0000000000,5896.7323763834,4856955792.4505968094
1,7,20000.2000000000,0.0000000000,0.0000000000,43.7239957034,1449.5129412714,1279897.6020480003,633.3972333417,0.0000000000,6333.9723334174,4047770511.8766188622
1,8,22500.1000000000,0.0000000000,0.0000000000,37.5421433766,1592.7371687681,1619870.4025920006,670.9393767184,0.0000000000,6709.3937671835,2949564654.9933128357
1,9,25000.0000000000,0.0000000000,0.0000000000,32.2343030786,1732.8066560786,1999840.0032000009,703.1736797969,0.0000000000,7031.7367979693,338.1759807568
2,0,2500.9000000000,0.0064980192,1000.0000000000,173.6156193203,274.6313473070,19998.4000320000,173.6156193203,0.0000000000,1736.1561932028,17780985004.4434204102
2,1,5000.8000000000,0.0000000000,0.0000000000,149.0692323079,478.1609481938,79993.6001280000,322.6848516282,0.0000000000,3226.8485162821,17366626857.5067901611
2,2,7500.7000000000,0.0000000000,0.0000000000,127.9932998418,661.3739899367,179985.6002880000,450.6781514700,0.0000000000,4506.7815146999,16622407560.7876510620
2,3,10000.6000000000,0.0000000000,0.0000000000,109.8971568496,832.5265655927,319974.4005120001,560.5753083195,0.0000000000,5605.7530831954,15675445068.9682540894
2,4,12500.5000000000,0.0000000000,0.0000000000,94.3595102130,995.2360776827,499960.0008000000,654.9348185325,0.0000000000,6549.3481853253,14548169062.5865135193
2,5,15000.4000000000,0.0000000000,0.0000000000,81.0186307169,1151.5189989776,719942.4011519999,735.9534492495,0.0000000000,7359.5344924948,13224240177.9681816101
2,6,17500.3000000000,0.0000000000,0.0000000000,69.5639316952,1302.6523866798,979921.6015679999,805.5173809447,0.0000000000,8055.1738094468,11651231254.4001235962
2,7,20000.2000000000,0.0000000000,0.0000000000,59.7287383170,1449.5129412714,1279897.6020480003,865.2461192617,0.0000000000,8652.4611926168,9710096676.5893745422
2,8,22500.1000000000,0.0000000000,0.0000000000,51.2840791773,1592.7371687681,1619870.4025920006,916.5301984390,0.0000000000,9165.3019843897,7075637778.8220443726
2,9,25000.0000000000,0.0000000000,0.0000000000,44.0333556538,1732.8066560786,1999840.0032000009,960.5635540927,0.0000000000,9605.6355409274,811.2420052506
3,0,2500.9000000000,0.0034822023,1000.0000000000,237.1659251928,274.6313473070,19998.4000320000,237.1659251928,0.0000000000,2371.6592519285,33219253353.7143821716
3,1,5000.8000000000,0.0000000000,0.0000000000,203.6345723761,478.1609481938,79993.6001280000,440.8004975690,0.0000000000,4408.0049756895,32445130420.7709121704
3,2,7500.7000000000,0.0000000000,0.0000000000,174.8440001787,661.3739899367,179985.6002880000,615.6444977477,0.0000000000,6156.4449774766,31054745728.2323303223
3,3,10000.6000000000,0.0000000000,0.0000000000,150.1239403593,832.5265655927,319974.4005120001,765.7684381070,0.0000000000,7657.6843810700,29285586881.0507926941
3,4,12500.5000000000,0.0000000000,0.0000000000,128.8988895586,995.2360776827,499960.0008000000,894.6673276656,0.0000000000,8946.6732766558,27179558039.2177734375
3,5,15000.4000000000,0.0000000000,0.0000000000,110.6747111065,1151.5189989776,719942.4011519999,1005.3420387720,0.0000000000,10053.4203877204,24706133252.6018180847
3,6,17500.3000000000,0.0000000000,0.0000000000,95.0271311138,1302.6523866798,979921.6015679999,1100.3691698858,0.0000000000,11003.6916988580,21767365690.1409873962
3,7,20000.2000000000,0.0000000000,0.0000000000,81.5918610262,1449.5129412714,1279897.6020480003,1181.9610309120,0.0000000000,11819.6103091196,18140848862.3141517639
3,8,22500.1000000000,0.0000000000,0.0000000000,70.0561166868,1592.7371687681,1619870.4025920006,1252.0171475987,0.0000000000,12520.1714759873,13219031676.5389919281
3,9,25000.0000000000,0.0000000000,0.0000000000,62.4005096795,1732.8066560786,1999840.0032000009,1314.4176572783,0.0000000000,13144.1765727828,1515.5995968086
4,0,2500.9000000000,0.0018660660,1021.2500000000,320.5898403324,274.6313473070,19998.4000320000,320.5898403324,0.0000000000,3205.8984033238,48333728429.6813201904
4,1,5000.8000000000,0.0000000000,0.0000000000,275.2637209208,478.1609481938,79993.6001280000,595.8535612532,0.0000000000,5958.5356125319,47207386208.3895034790
4,2,7500.7000000000,0.0000000000,0.0000000000,236.3459677219,661.3739899367,179985.6002880000,832.1995289751,0.0000000000,8321.9952897510,45184388417.7293090820
4,3,10000.6000000000,0.0000000000,0.0000000000,211.2662884407,832.5265655927,319974.4005120001,1043.4658174158,0.0000000000,10434.6581741585,42610277483.9843368530
4,4,12500.5000000000,0.0000000000,0.0000000000,190.8518394019,995.2360776827,499960.0008000000,1234.3176568177,0.0000000000,12343.1765681775,39546023600.1789779663
4,5,15000.4000000000,0.0000000000,0.0000000000,172.4100180484,1151.5189989776,719942.4011519999,1406.7276748661,0.0000000000,14067.2767486615,35947211770.9489135742
4,6,17500.3000000000,0.0000000000,0.0000000000,155.7502113504,1302.6523866798,979921.6015679999,1562.4778862165,0.0000000000,15624.7788621651,31671330198.0099372864
