gs_step,col_step,particle_ht,ashdiam,part_density,fall_time,plume_diffusion_fine_particle,plume_diffusion_coarse_particle,total_fall_time,wind_sum_x,wind_sum_y,actual_mass
0,0,334.3200000000,0.0226274170,1000.0000000000,14.1571079242,54.7899743083,355.5271116800,14.1571079242,0.0000000000,141.5710792416,272719144.0032989979
0,1,667.6400000000,0.0000000000,0.0000000000,13.8722776436,95.3948859941,1422.1084467200,28.0293855678,0.0000000000,280.2938556779,279562974.6746637821
0,2,1000.9600000000,0.0000000000,0.0000000000,13.5931779325,131.9465686351,3199.7440051200,41.6225635002,0.0000000000,416.2256350024,282878435.4694097042
0,3,1334.2800000000,0.0000000000,0.0000000000,13.3196934959,166.0921434755,5688.4337868800,54.9422569961,0.0000000000,549.4225699615,284698985.3829099536
0,4,1667.6000000000,0.0000000000,0.0000000000,13.0517113589,198.5532957603,8888.1777920000,67.9939683551,0.0000000000,679.9396835507,285676389.4654363990
0,5,2000.9200000000,0.0000000000,0.0000000000,12.7891208194,229.7323193005,12798.9760204800,80.7830891745,0.0000000000,807.8308917448,286105453.5911555290
0,6,2334.2400000000,0.0000000000,0.0000000000,12.5318134025,259.8839917535,17420.8284723200,93.3149025770,0.0000000000,933.1490257699,286145296.0838907361
0,7,2667.5600000000,0.0000000000,0.0000000000,12.2796828158,289.1832181233,22753.7351475200,105.5945853928,0.0000000000,1055.9458539280,285891783.5709468126
0,8,3000.8800000000,0.0000000000,0.0000000000,12.0326249054,317.7569837251,28797.6960460800,117.6272102982,0.0000000000,1176.2721029820,285407205.0980041623
0,9,3334.2000000000,0.0000000000,0.0000000000,11.7905376129,345.7013669369,35552.7111680000,129.4177479111,0.0000000000,1294.1774791107,284734325.0609335303
0,10,3667.5200000000,0.0000000000,0.0000000000,11.5533209332,373.0914056096,43018.7805132800,140.9710688442,0.0000000000,1409.7106884425,283903758.4144963026
0,11,4000.8400000000,0.0000000000,0.0000000000,11.3208768733,399.9871999488,51195.9040819200,152.2919457175,0.0000000000,1522.9194571752,282938151.4568444490
0,12,4334.1600000000,0.0000000000,0.0000000000,11.0931094117,426.4378829543,60084.0818739200,163.3850551292,0.0000000000,1633.8505512918,281854698.7507401705
0,13,4667.4800000000,0.0000000000,0.0000000000,10.8699244587,452.4843108254,69683.3138892800,174.2549795879,0.0000000000,1742.5497958792,280666733.4132762551
0,14,5000.8000000000,0.0000000000,0.0000000000,10.6512298179,478.1609481938,79993.6001280000,184.9062094058,0.0000000000,1849.0620940580,279384772.6340092421
0,15,5334.1200000000,0.0000000000,0.0000000000,10.4369351474,503.4972268660,91014.9405900800,195.3431445532,0.0000000000,1953.4314455325,278017228.2427154779
0,16,5667.4400000000,0.0000000000,0.0000000000,10.2269519233,528.5185488639,102747.3352755200,205.5700964766,0.0000000000,2055.7009647659,276570903.4123415947
0,17,6000.7600000000,0.0000000000,0.0000000000,10.0211934025,553.2470423463,115190.7841843200,215.5912898791,0.0000000000,2155.9128987913,275051348.3297438622
0,18,6334.0800000000,0.0000000000,0.0000000000,9.8195745872,577.7021416439,128345.2873164800,225.4108644664,0.0000000000,2254.1086446635,273463120.2249698043
0,19,6667.4000000000,0.0000000000,0.0000000000,9.6220121896,601.9010394383,142210.8446719999,235.0328766560,0.0000000000,2350.3287665599,271809976.9304177165
0,20,7000.7200000000,0.0000000000,0.0000000000,9.4284245977,625.8590442502,156787.4562508799,244.4613012537,0.0000000000,2444.6130125373,270095023.2280765772
0,21,7334.0400000000,0.0000000000,0.0000000000,9.2387318415,649.5898666287,172075.1220531199,253.7000330952,0.0000000000,2537.0003309519,268320823.0031734109
0,22,7667.3600000000,0.0000000000,0.0000000000,9.0528555596,673.1058508558,188073.8420787199,262.7528886548,0.0000000000,2627.5288865484,266489486.1909505129
0,23,8000.6800000000,0.0000000000,0.0000000000,8.8707189677,696.4181644533,204783.6163276799,271.6236076226,0.0000000000,2716.2360762258,264602736.8369240165
0,24,8334.0000000000,0.0000000000,0.0000000000,8.6922468260,719.5369546163,222204.4447999999,280.3158544486,0.0000000000,2803.1585444858,262661966.7900136411
0,25,8667.3200000000,0.0000000000,0.0000000000,8.5173654085,742.4714784334,240336.3274956799,288.8332198570,0.0000000000,2888.3321985705,260668278.3079860806
0,26,9000.6400000000,0.0000000000,0.0000000000,8.3460024725,765.2302121271,259179.2644147199,297.1792223296,0.0000000000,2971.7922232955,258622517.9857965112
0,27,9333.9600000000,0.0000000000,0.0000000000,8.1780872289,787.8209433434,278733.2555571198,305.3573095585,0.0000000000,3053.5730955848,256525303.7985301614
0,28,9667.2800000000,0.0000000000,0.0000000000,8.0135503128,810.2508496327,298998.3009228798,313.3708598712,0.0000000000,3133.7085987124,254377046.6029283702
0,29,10000.6000000000,0.0000000000,0.0000000000,7.8523237546,832.5265655927,319974.4005119998,321.2231836259,0.0000000000,3212.2318362587,252177967.1126837432
0,30,10333.9200000000,0.0000000000,0.0000000000,7.6943409527,854.6542406329,341661.5543244798,328.9175245785,0.0000000000,3289.1752457852,249928109.1175726652
0,31,10667.2400000000,0.0000000000,0.0000000000,7.5395366449,876.6395889324,364059.7623603198,336.4570612234,0.0000000000,3364.5706122342,247627349.5308961570
0,32,11000.5600000000,0.0000000000,0.0000000000,7.3878468825,898.4879328551,387169.0246195197,343.8449081059,0.0000000000,3438.4490810590,245275405.7067736983
0,33,11333.8800000000,0.0000000000,0.0000000000,7.2392090031,920.2042408519,410989.3411020797,351.0841171090,0.0000000000,3510.8411710899,242871840.3566534519
0,34,11667.2000000000,0.0000000000,0.0000000000,7.0935616052,941.7931606917,435520.7118079996,358.1776787142,0.0000000000,3581.7767871416,240416064.3043383956
0,35,12000.5200000000,0.0000000000,0.0000000000,6.9508445225,963.2590487130,460763.1367372797,365.1285232367,0.0000000000,3651.2852323667,237907337.2445490658
0,36,12333.8400000000,0.0000000000,0.0000000000,6.8109987994,984.6059956699,486716.6158899196,371.9395220360,0.0000000000,3719.3952203604,235344766.6067344248
0,37,12667.1600000000,0.0000000000,0.0000000000,6.6739666662,1005.8378496509,513381.1492659196,378.6134887022,0.0000000000,3786.1348870221,232727304.5697610974
0,38,13000.4800000000,0.0000000000,0.0000000000,6.5396915156,1026.9582364695,540756.7368652795,385.1531802178,0.0000000000,3851.5318021785,230053743.2211692333
0,39,13333.8000000000,0.0000000000,0.0000000000,6.4081178793,1047.9705778630,568843.3786879994,391.5612980972,0.0000000000,3915.6129809718,227322707.8042411208
0,40,13667.1200000000,0.0000000000,0.0000000000,6.2791914049,1068.8781077852,597641.0747340795,397.8404895021,0.0000000000,3978.4048950206,224532647.9446918368
0,41,14000.4400000000,0.0000000000,0.0000000000,6.1528588334,1089.6838870319,627149.8250035194,403.9933483354,0.0000000000,4039.9334833542,221681826.6939274073
0,42,14333.7600000000,0.0000000000,0.0000000000,6.0290679774,1110.3908164080,657369.6294963195,410.0224163128,0.0000000000,4100.2241631284,218768307.1648461819
0,43,14667.0800000000,0.0000000000,0.0000000000,5.9077676997,1131.0016486102,688300.4882124794,415.9301840125,0.0000000000,4159.3018401251,215789936.4660781026
0,44,15000.4000000000,0.0000000000,0.0000000000,5.7889078916,1151.5189989776,719942.4011519994,421.7190919041,0.0000000000,4217.1909190407,212744326.5577014387
0,45,15333.7200000000,0.0000000000,0.0000000000,5.6724394527,1171.9453552408,752295.3683148792,427.3915313568,0.0000000000,4273.9153135677,209628831.5512765646
0,46,15667.0400000000,0.0000000000,0.0000000000,5.5583142706,1192.2830863829,785359.3897011192,432.9498456273,0.0000000000,4329.4984562732,206440520.8536198735
0,47,16000.3600000000,0.0000000000,0.0000000000,5.4464852006,1212.5344507090,819134.4653107191,438.3963308279,0.0000000000,4383.9633082788,203176147.3993287086
0,48,16333.6800000000,0.0000000000,0.0000000000,5.3369060467,1232.7016032119,853620.5951436791,443.7332368746,0.0000000000,4437.3323687457,199832110.0212885737
0,49,16667.0000000000,0.0000000000,0.0000000000,5.2295315423,1252.7866023071,888817.7791999993,448.9627684169,0.0000000000,4489.6276841690,196404408.7570768595
